Día,Asistentes,Kolmogorov,Landau
2017-02-08,25,1,1
2017-02-13,25,6,5
2017-02-14,25,3,3
2017-02-20,22,2,2
2017-02-21,22,1,0
2017-02-22,25,3,2
2017-02-27,26,3,3
2017-02-28,25,2,4
2017-03-01,24,2,2
2017-03-07,21,5,6
2017-03-08,21,5,7
2017-03-13,23,7,
2017-03-14,21,4,
2017-03-15,23,1,2
2017-03-20,18,2,1
2017-03-21,20,1,1
2017-03-22,20,0,0
2017-03-27,17,,1
2017-03-28,,2,2
2017-04-03,19,3,0
2017-04-04,,0,1
2017-04-05,25,,
2017-04-18,22,2,3
2017-04-19,21,2,1
2017-04-25,18,2,4
2017-04-26,24,0,1
2017-05-02,16,0,0
2017-05-08,21,1,0
2017-05-09,18,2,0
2017-05-15,22,3,1
2017-05-16,16,3,3
2017-05-17,20,-2,-2
2017-05-17,,1,0
2017-05-23,18,0,0
2017-05-24,17,0,2
2017-05-24,11,5,
